tweet,label
The only thing I got from college is a caffeine addiction,sarcastic
I love it when professors draw a big question mark next to my answer on an exam because I’m always like yeah I don’t either ¯\_(ツ)_/¯,sarcastic
Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @SavageXFenty shared helpful links and actually said black lives matter... we love capitalism 🥰🙌🏼,sarcastic
Today my pop-pop told me I was not “forced” to go to college 🙃 okay sure sureeee,sarcastic
"@VolphanCarol @littlewhitty @mysticalmanatee I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",sarcastic
"@jimrossignol I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",sarcastic
Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @bbcgoodfood,sarcastic
someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,sarcastic
Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,sarcastic
Holly Arnold ??? Who #ImACeleb  #MBE nope not sure oh hang on you mean MBE yes that’s her !!!,sarcastic
"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. https://t.co/yZlafy0lsd",sarcastic
See Brexit is going well,sarcastic
Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,sarcastic
do i just blast maneskin to get hyped for my osce or??,sarcastic
"@heathoween @tylerrjoseph Yes, because we need literally every single fucking celebrity to speak up on a topic that's been forced down everyone's throats for the past four months. I use the internet to get away from these fucking real life problems; not everyone needs to weigh in.",sarcastic
"I never thought I'd say this, but I have become one of those people who like bounty bars.",sarcastic
My eldest is having a wild Friday night out. She's going to bingo. 😂,sarcastic
"Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",sarcastic
gaslight gatekeep girl boss,sarcastic
I was only in Taylor Swift’s top 0.10% of listeners on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out,sarcastic
Imagine going to university for 4 years when you could just follow Elon Musk on twitter for free,sarcastic
"Not got one lynx Africa for Christmas Day this year, shocked and outraged. #RuinedChristmas",sarcastic
The villains in super hero films are awfully polite. They always confine their invasions to being above one particular city,sarcastic
Oh my goodness. It’s the first week of the summer holidays and Harrison has found his recorder.   Give. Me. Strength.,sarcastic
"@AsdaServiceTeam imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it’s okay, my £3 delivery fee is being refunded though 👊🏻",sarcastic
teams is down what a shame I can’t do my assignments 👉🏽👈🏽,sarcastic
@DuncanEdwards03 @PoliticsForAlI Well I doubt they're trying to smash the doors in to change the regulation of cough medicine.,sarcastic
Not at all concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,sarcastic
Not telling anyone how I voted in case it doesn't come true #EUref,sarcastic
just wondering how to get my diss down by 1500 words .. such fun,sarcastic
It’s been a blissful 2.5 hours of sleep tonight,sarcastic
Falling asleep at your laptop is always fun,sarcastic
Trying to know all this history tonight is gonna kill me,sarcastic
love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,sarcastic
Nice to be compared to a brick wall 😂,sarcastic
@BellularGaming Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.,sarcastic
if 2020 was a nose it’d be mine 🐦,sarcastic
Would anyone like to give me some money? #FinDom,sarcastic
Got very excited that my national trust card arrived I am officially a grandma https://t.co/mtkWJCxwom,sarcastic
Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.,sarcastic
ITS COMING HOOOOOME,sarcastic
i wish i could tap in to the government bank account🙄🙄🙄,sarcastic
90% of adulthood is just refilling your Brita pitcher.,sarcastic
"I suppose though, we did sign one for the future so, you know, not all gloom and doom...we might be good in 6 years time.",sarcastic
Where is the Chancellor? Please check the back of your sofas.,sarcastic
"i have been informed that, as aroace and agender, i have triple visibility and am now visible from space.",sarcastic
going to be running on three hours of sleep at work tonight! so excited!!!,sarcastic
"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",sarcastic
i’m now reading 4 books at once what could go wrong 🧡,sarcastic
"@ZionWarrior6 I think lunch was ready at the care home, then it was time for nap and then Countdown.",sarcastic
@Schlippertysch1 @anon_opin Very good. Just need to work on your spelling now 👍,sarcastic
July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far.  Can’t wait for part 2.  #murderhornets,sarcastic
"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay! 🤣🙄",sarcastic
I just absolutely LOVE how I've got to work outside for the next 3 days in the heatwave.  #sweatingmyballsoff,sarcastic
@ThePartridgePod Defrost the freezer with the cast of Hollyoaks. Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars. Magic.,sarcastic
"So, very delayed flight from Bristol to Edinburgh @easyJet, trademark vagueness from staff, with a chronic lack of empathy to boot (despite me travelling with three young children)... now, time to feed our family with £3 vouchers (at airport prices!) #bollocks",sarcastic
we need to normalise having absolutely fried bleach damaged hair. people should talk about this,sarcastic
"Wizkid is the king, ok lol",sarcastic
"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis 🧠 https://t.co/lShlgWYGOX",sarcastic
"Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄",sarcastic
Social Care for the young is basically a bath board and bed rest and your done.,sarcastic
@PONOS_EN Very nice. We're now briefly up to date. Hopefully doesn't take you so long to do the English release of the new pixie after we get 9.10.,sarcastic
JUSTICE HAS BEEN DONE.,sarcastic
What a Race ! #sarcastic #WTF1 https://t.co/zRtL5alnoT,sarcastic
